gene_id,pyrE-1,pyrE-2,pyrE-3,pyrE-4,rosR-1,rosR-2,rosR-3,rosR-4
HVO_RS08805,61.641726562251,58.68420884489,63.2528808518929,66.9617077785923,55.6826531123057,79.8984923579176,68.949254327938,62.3304695586598
HVO_RS08810,22796.9910777681,23109.1802125955,22222.1967251358,22054.0354030787,23160.5035288997,25010.9832284544,22179.6760733755,21230.8912129442
HVO_RS08815,69690.6733662439,80094.8531535946,78049.1893650165,78109.8473927312,82626.0968870227,85604.3467604434,74063.4903228711,78816.3121162929
HVO_RS08820,94894.8261050192,109393.151053944,100300.579727468,103555.296348596,112177.344915833,117511.396415514,101386.381063289,106820.825448366
HVO_RS08825,84612.1502944146,93744.3042080243,90229.7479746033,92697.6523784969,93012.0717477408,91996.2261490768,87665.479452029,91770.8502531118
HVO_RS08830,5701.33731949498,6106.46387247954,6116.0670177561,5980.27134322634,7082.13744272139,7020.04684579221,6629.12106103682,6693.15914933535
HVO_RS08835,4501.93558909728,4711.2674706461,4491.92766172827,4236.31274799271,5108.88342305405,5094.21766792378,4942.36249139103,4752.98162416398
HVO_RS08840,61.641726562251,84.3068915799828,69.0916083151445,74.8395557525443,70.7633716635552,85.4087332101878,63.9529315505512,66.8635946174714
HVO_RS21275,27.1641506884496,28.9288353460725,22.3817886091313,27.5724679088321,24.3611607366338,33.9798185889995,30.9772012197982,39.6648442646017
HVO_RS08845,681.193317264197,455.422522162456,601.38892871492,833.082423245428,445.461224898446,544.59547089937,679.499897724606,687.901727674663
HVO_RS08850,8828.34897374612,10393.7172707675,9807.11589577502,8610.48783552958,14991.3942952151,14341.3201915085,14411.3934190945,13965.4250249339
HVO_RS08855,586.118789854624,570.311325394001,584.84586756904,506.151732326418,552.186310030365,527.146374867181,619.544024395965,556.441100969126
HVO_RS08860,4333.72680983419,4831.11550279411,4844.19755201112,4301.30499377781,4919.79441352685,4917.88996065114,4728.51987651888,4971.70490825164
HVO_RS08865,2879.39997297566,2754.85166309885,2797.72357614142,2787.77345178228,2779.49243452259,2767.05928131501,2684.02459601219,2853.60222452191
HVO_RS08870,13385.6576392468,15728.1945085833,17450.9832664153,12464.7249567856,17483.1930219908,16181.7406361668,16668.7320499179,16964.0872513378
HVO_RS08875,15757.2969493537,14669.399134917,14610.4423555434,14308.1413826904,14548.253180863,14415.7084430142,13923.7523160216,14027.7554944926
HVO_RS08880,59.5521765092933,77.6945863580233,54.4947896570154,57.1143978111523,67.2832058440361,67.0412637026205,57.957344217687,67.9968758821743
HVO_RS08885,299.850432599424,321.523341417777,331.834344161469,305.266608990641,314.374979029893,335.206318513103,320.763922308233,366.049848499038
HVO_RS08890,21183.8584368848,21296.5820436258,20587.3530354253,23181.5523943506,19415.8451070971,21510.143540312,19682.5139492376,19910.6185395653
HVO_RS08895,175.522204448443,191.756851436824,202.409218726057,239.289632208793,241.291496819992,197.450297206348,214.841879427633,222.123127881769
HVO_RS08900,5575.96431631752,4894.75894055547,4919.12788778952,4425.38109936756,4720.26490654108,4754.41948203379,4823.45000928923,4961.50537686932
HVO_RS08905,380.298109638294,438.891759107557,449.582014670377,419.495404612946,435.020727439889,453.676496836912,441.674933520994,444.246255763539
