gene_id,pyrE-1,pyrE-2,rosR-1,rosR-2,rosR-3,rosR-4
HFX_RS10120,1152,485,628,715,656,640
HFX_RS10125,325,182,257,295,253,254
HFX_RS10130,263,332,227,312,239,237
HFX_RS10135,1590,371,933,984,915,923
HFX_RS10140,2213,952,1379,1778,1682,1502
HFX_RS10145,1163,645,1323,1800,1080,1157
HFX_RS10150,616,167,268,329,264,258
HFX_RS10155,505,269,217,290,301,253
HFX_RS19150,4405,5808,2416,3251,2802,2487
HFX_RS10165,13807,28244,11767,15067,12913,11449
HFX_RS10170,3201,1035,179,228,245,279
HFX_RS10175,3868,5083,1413,1596,1224,1384
HFX_RS10180,1538,681,817,1354,1256,1031
HFX_RS10185,14854,6031,9039,9730,8810,8180
HFX_RS10190,4364,2170,4125,5047,4102,3825
HFX_RS10195,19214,4676,11723,12241,12218,11030
HFX_RS10200,7280,5477,5296,6209,5994,5122
HFX_RS10205,491,102,129,183,152,177
HFX_RS10210,1210,1448,1040,1078,949,924
HFX_RS10215,4340,3020,2704,2862,2366,2217
HFX_RS10220,5551,3514,3244,3413,2887,2746
HFX_RS10225,3729,767,1635,1587,1635,1659
HFX_RS10230,26530,15997,19583,24215,20619,19058
HFX_RS10235,888,961,761,876,797,715
HFX_RS10240,2316,897,1720,1987,1922,1749
HFX_RS10245,2488,1963,2978,3284,2534,2700
HFX_RS10250,171,79,82,123,88,91
HFX_RS19680,5827,4134,4355,10324,8568,7146
HFX_RS19685,3481,2849,4187,8455,6072,5665
HFX_RS20295,266,77,71,164,134,117
HFX_RS19690,2522,869,1309,2674,1913,1956
HFX_RS10255,62,23,24,37,36,38
HFX_RS10260,3306,2790,1701,2579,2232,2294
HFX_RS10265,668,859,330,533,405,400
HFX_RS10270,4114,1166,2327,3079,2499,2630
HFX_RS10275,1114,707,491,474,451,447
HFX_RS10280,4540,1895,2118,2414,2154,2048
HFX_RS10285,3802,1755,3005,3297,2881,2691
HFX_RS10290,1930,817,816,763,840,748
HFX_RS10295,494,317,316,416,318,343
HFX_RS10300,2876,4747,3202,3648,3120,2871
HFX_RS10305,8086,14511,9054,10513,8514,8505
HFX_RS10310,16987,30991,17760,20163,16574,15960
HFX_RS10315,3073,957,2321,2513,2425,2127
HFX_RS10320,285,129,133,150,154,125
HFX_RS10325,5977,2671,2256,2605,2274,2437
HFX_RS20055,4904,856,2533,3724,3494,3068
HFX_RS10330,14208,3992,11037,11162,9513,9557
HFX_RS10335,17515,23127,15795,22275,17634,15991
HFX_RS10340,9547,2777,4930,4938,4947,4669
HFX_RS10345,2615,1016,1338,1460,1488,1355
HFX_RS10350,1828,1063,1509,1398,1283,1250
HFX_RS10355,2262,1251,1624,1535,1518,1460
HFX_RS10360,1854,1821,1421,1428,1113,1184
HFX_RS10365,3959,7854,3922,5003,4478,3848
HFX_RS10370,7841,12321,7461,10236,8753,7764
HFX_RS10375,38,15,20,14,22,14
HFX_RS10380,1665,1033,992,1073,1091,1056
HFX_RS10385,5718,3156,4404,4417,4578,4248
HFX_RS10390,1323,2315,1933,1951,1659,1557
HFX_RS10395,2184,2963,1410,1976,1810,1540
HFX_RS10400,5849,8033,5350,6522,5198,4986
HFX_RS10405,1624,966,1421,1720,1561,1410
HFX_RS10410,5284,4669,6360,7893,6918,6845
HFX_RS10415,1053,614,720,955,851,718
HFX_RS10420,1657,1552,1270,1573,1531,1301
HFX_RS10425,10354,11190,8303,10271,9552,8028
HFX_RS10430,863,741,808,1018,973,849
HFX_RS10435,2797,415,1537,1647,1610,1507
HFX_RS10440,454,724,406,505,440,427
HFX_RS10445,2595,4947,2046,2395,2554,2052
HFX_RS10450,48658,98111,59089,75852,64470,58701
HFX_RS10455,868,326,451,603,559,504
HFX_RS10460,5449,3086,5854,8531,6716,6575
HFX_RS10465,890,1157,739,943,774,693
HFX_RS19695,881,337,390,461,443,440
HFX_RS10470,3935,6412,3679,3846,3404,3365
HFX_RS10475,5511,1844,3652,3308,3206,3113
HFX_RS10480,2361,862,1634,1925,1861,1616
HFX_RS10485,2821,1472,2109,2336,2382,2033
HFX_RS10490,1089,440,662,827,765,623
HFX_RS10495,1404,2844,2025,2205,1755,1826
HFX_RS10500,1621,2143,1613,1729,1457,1464
HFX_RS10505,2076,734,1688,1890,1716,1468
HFX_RS10510,3475,996,1648,1745,1760,1531
HFX_RS10515,2638,3496,2915,3451,2972,2483
HFX_RS10520,8591,7907,7420,8832,8123,7156
HFX_RS10525,2017,694,1367,1640,1514,1435
HFX_RS20060,243,493,297,453,373,326
HFX_RS10530,290,187,148,164,151,138
HFX_RS10535,1160,368,544,688,647,661
HFX_RS10540,406,78,176,235,190,191
HFX_RS10545,334,344,208,306,288,280
HFX_RS10550,140,71,111,149,116,142
HFX_RS10555,274,213,245,299,220,215
HFX_RS10560,265,39,56,95,102,114
HFX_RS10565,47,7,7,25,23,23
HFX_RS10570,227743,312021,198455,300019,292156,237380
HFX_RS10575,95283,141477,101303,109866,101749,85152
HFX_RS10580,63325,89897,66856,68472,63635,56433
HFX_RS10585,7009,9679,5263,6592,5094,4964
HFX_RS10590,61081,85855,61311,65487,57858,51774
HFX_RS10595,26611,36413,25497,30073,26743,21822
HFX_RS10600,27552,36291,27103,30487,26493,22900
HFX_RS10605,71357,96377,73183,86692,73908,61783
HFX_RS10610,3516,4598,2904,3152,2891,2695
HFX_RS10615,21879,30158,23165,27927,23840,20656
HFX_RS10620,17919,24988,18793,22258,18871,16312
HFX_RS10625,18933,28951,21096,24141,21331,18675
HFX_RS10630,15064,20827,15761,17843,15163,13740
HFX_RS10635,45254,66232,55091,59808,50635,45812
HFX_RS10640,31737,46459,38267,43651,34860,32131
HFX_RS10645,1477,1948,1520,1948,1608,1227
HFX_RS10650,15873,23627,18799,21081,17110,15928
HFX_RS10655,31169,45326,35740,42629,32762,30311
HFX_RS10660,56480,82645,71759,78408,68123,57831
HFX_RS10665,39276,54077,45048,50894,44835,37273
HFX_RS10670,34093,52181,40722,45360,41302,34988
HFX_RS10675,40649,61210,50961,61196,53268,42268
HFX_RS10680,33327,44623,33132,36125,32791,30054
HFX_RS10685,30956,42417,31508,35287,32628,27648
HFX_RS10690,175103,240825,187880,226939,208620,168795
HFX_RS10695,1776,640,1097,1391,1297,1174
HFX_RS10700,380,816,351,383,378,327
HFX_RS10705,868,332,448,522,486,432
HFX_RS10710,3238,1155,1833,1891,1934,1749
HFX_RS10715,2603,1012,598,757,606,687
HFX_RS10720,332,198,311,377,311,322
HFX_RS10725,3444,6750,2767,3390,2883,2590
HFX_RS10730,2381,2129,1163,1420,1289,1253
HFX_RS10735,398,78,90,154,113,137
HFX_RS10740,5125,1725,3484,4002,3096,3155
HFX_RS10745,2850,970,1744,2055,1708,1759
HFX_RS10750,215,125,84,135,107,106
HFX_RS10755,1375,859,1072,1098,997,920
HFX_RS10760,5765,1925,2837,3436,3214,2921
HFX_RS10765,3276,1394,2528,2485,1997,2185
HFX_RS10770,1373,749,1158,1150,1024,907
HFX_RS10775,886,583,578,570,496,505
HFX_RS10780,7650,2286,3890,3998,3940,3631
HFX_RS20565,3113,538,683,929,788,914
HFX_RS10785,1214,558,649,936,756,745
HFX_RS10790,454,222,263,289,225,277
HFX_RS10795,396,109,306,290,281,286
HFX_RS10805,1546,2035,1450,1966,1686,1583
HFX_RS10810,1304,878,709,952,801,768
HFX_RS10815,488,262,361,480,327,353
HFX_RS10820,2253,391,904,1260,1172,1180
HFX_RS10825,1950,177,373,482,481,480
HFX_RS19700,86327,66818,46078,107048,104562,71951
HFX_RS10830,11001,11823,8212,9846,8892,7811
HFX_RS10835,615,586,406,510,444,467
HFX_RS10840,621,493,593,794,644,573
HFX_RS10845,14984,8674,8324,9391,8581,7708
HFX_RS10850,454,407,532,470,351,403
HFX_RS10855,4814,2614,2366,3080,2734,2571
HFX_RS10860,3637,1133,2560,2973,3098,2689
HFX_RS10865,155,100,74,122,93,91
HFX_RS10870,7878,11352,6223,7394,6955,5847
HFX_RS10875,7379,10780,5967,7482,6718,5802
HFX_RS10880,549,239,295,376,336,314
HFX_RS10885,2087,8748,1997,2619,2201,1938
HFX_RS10890,127,474,67,108,79,81
HFX_RS10895,2112,4590,2361,3252,2452,2238
HFX_RS10900,648,930,617,723,644,609
HFX_RS10905,1041,1234,902,1179,984,967
HFX_RS10910,1075,888,753,825,666,707
HFX_RS10915,1762,1713,1583,1722,1359,1353
HFX_RS10920,3250,1180,1988,2238,2142,1964
HFX_RS10925,528,415,603,754,690,517
HFX_RS10930,375,162,367,317,314,369
HFX_RS19705,56,13,14,23,24,47
HFX_RS10935,13084,18136,12525,16221,12636,12708
HFX_RS10940,15076,25118,14118,17688,15734,13748
HFX_RS10945,1739,2448,1768,2066,1728,1559
HFX_RS10950,2113,4121,2921,3522,2850,2464
HFX_RS10955,1117,231,1120,1003,1002,848
HFX_RS10960,1294,112,284,445,487,394
HFX_RS19710,17597,13792,22723,43173,31545,30247
HFX_RS10965,96,68,29,53,46,53
HFX_RS10970,1388,493,986,1645,1251,1235
HFX_RS10975,977,483,645,1110,857,823
HFX_RS10980,45,17,22,35,20,23
HFX_RS10985,4072,1430,4412,5903,4706,4617
HFX_RS10990,1323,369,1488,1840,1565,1620
HFX_RS10995,216,33,125,186,185,194
HFX_RS11005,432,707,303,457,455,427
HFX_RS11010,8553,3521,8355,9211,9062,8226
HFX_RS11015,2236,1590,2823,3512,2808,2462
HFX_RS11020,6362,4326,5840,7710,5770,5576
HFX_RS11025,1127,1098,1071,1530,1427,1295
HFX_RS20300,259,297,79,139,107,119
HFX_RS11035,422,1550,147,178,139,141
HFX_RS11040,634,669,417,600,534,434
HFX_RS11045,398,109,214,212,211,197
HFX_RS11050,750,948,908,1186,1044,916
HFX_RS11055,3438,7850,2396,3102,2820,2578
HFX_RS11060,60258,60826,49362,58968,55224,47184
HFX_RS11065,7010,2917,3687,4012,3974,3559
HFX_RS11070,314,153,126,155,158,146
HFX_RS11075,3021,4615,3005,3749,3066,2818
HFX_RS11080,3657,1610,2278,2562,2342,2137
HFX_RS11085,1805,919,916,848,799,833
HFX_RS11090,1317,626,727,701,629,580
HFX_RS11095,1421,743,894,822,767,693
HFX_RS11100,1256,705,794,724,630,679
HFX_RS11105,5079,6906,2315,4228,3540,3297
HFX_RS11110,769,518,644,1070,884,715
HFX_RS11115,2629,2632,2243,2520,2582,2137
HFX_RS11120,18013,20743,16255,18503,16537,15407
HFX_RS11125,176,329,88,127,101,87
HFX_RS11130,850,2796,668,712,667,639
HFX_RS11135,2409,363,982,1202,1140,1104
HFX_RS11140,6926,1414,3311,3618,3769,3257
HFX_RS11145,42,12,11,20,19,27
HFX_RS11150,31187,29475,34266,37904,28879,31376
HFX_RS11155,27379,26609,31785,35299,27471,28104
HFX_RS20305,48,18,16,24,20,19
HFX_RS11165,4308,5848,628,723,559,678
HFX_RS11170,869,1118,159,189,169,151
HFX_RS11175,2432,841,1906,2335,2189,2053
HFX_RS11180,304,58,68,93,107,96
HFX_RS11185,730,113,294,480,400,370
HFX_RS11190,789,1694,555,545,462,492
HFX_RS11195,776,1117,517,436,414,397
HFX_RS11200,2967,3178,2044,1941,1682,1744
HFX_RS11205,1534,1713,1028,1084,832,919
HFX_RS11210,2771,1328,2159,2657,2420,2133
HFX_RS11215,46108,58961,44480,46452,41441,41413
HFX_RS11220,4247932,2773733,3897547,4539044,3468792,3649067
HFX_RS11225,21481,9629,5468,8392,8508,7042
HFX_RS11230,4523,3481,1037,1309,1215,1195
HFX_RS11235,25718,3612,25495,37797,32779,28851
HFX_RS11240,3031,4118,2043,3742,3281,2637
HFX_RS11245,428,1100,509,729,529,451
HFX_RS11250,1082,2472,1766,2624,1831,1669
HFX_RS11255,401,132,459,748,562,573
HFX_RS11260,1088,980,626,963,748,785
HFX_RS11265,3689,1793,2001,2238,1902,1855
HFX_RS11270,610,427,287,356,285,284
HFX_RS11275,641,333,351,428,362,310
HFX_RS11280,511,261,364,292,274,288
HFX_RS11285,692,285,362,370,328,360
HFX_RS11290,1945,725,1144,1257,1193,1062
HFX_RS11295,8876,2645,3386,3709,3547,3523
HFX_RS11300,12710,2590,15778,17191,14693,14775
HFX_RS11305,18757,16157,18821,19461,15187,16000
HFX_RS11310,1374,1355,1422,1330,979,905
HFX_RS11315,3562,1638,2227,2116,1809,1900
HFX_RS11320,3958,1199,1047,1593,1582,1308
HFX_RS11325,496,268,190,238,228,228
HFX_RS11330,1582,722,797,1085,1036,932
HFX_RS11335,650,589,519,783,638,619
HFX_RS11340,6362,10161,6953,8047,6709,6018
HFX_RS11345,167,177,113,156,117,96
HFX_RS11350,673,686,364,432,360,379
HFX_RS11355,1436,823,839,1230,1044,1008
HFX_RS11360,1089,551,732,891,755,788
HFX_RS11365,1431,667,970,982,771,862
HFX_RS11370,9187,3229,5367,5693,5620,5477
HFX_RS11375,8855,3027,5367,5457,5819,4969
HFX_RS11380,7552,2405,3927,3947,3817,3858
HFX_RS11385,1569,1296,1144,1351,1163,977
HFX_RS11390,198,63,73,102,101,95
HFX_RS11395,525,1100,644,748,533,531
HFX_RS11400,48,30,32,40,27,27
HFX_RS11405,7339,20820,5862,7058,6309,6157
HFX_RS11410,7592,5642,8853,10502,8128,7870
HFX_RS11415,14516,18654,12240,18806,15337,13254
HFX_RS11420,2252,2516,1750,2151,1966,1733
HFX_RS11425,342,411,215,309,238,205
HFX_RS11430,70630,2503,13462,13405,14700,13777
HFX_RS11435,4555,266,666,568,624,635
HFX_RS11440,22183,2591,13972,15694,13135,13454
HFX_RS11445,10164,5898,7440,8575,7531,7318
HFX_RS11450,893,729,526,628,576,536
HFX_RS11455,1850,483,601,832,813,907
HFX_RS11460,694,99,113,136,117,174
HFX_RS11465,575,105,154,169,163,148
HFX_RS19160,518,72,76,86,105,94
HFX_RS11470,7483,10697,6760,8104,7021,6242
HFX_RS11475,1165,1933,1115,1277,1100,1089
HFX_RS11480,7830,11314,7167,7394,6391,6266
HFX_RS11485,12141,16215,10811,11292,10132,9763
HFX_RS20070,1308,1179,753,1264,1138,1073
HFX_RS11490,215,169,191,230,169,222
HFX_RS11495,1721,1278,1164,1359,1294,1151
HFX_RS11500,335,195,228,338,242,248
HFX_RS11505,121423,59824,96855,104898,94529,91426
HFX_RS11510,88885,46266,72318,82009,72617,68818
HFX_RS11515,195310,97124,155581,191541,164904,152780
HFX_RS11520,1266,453,674,904,801,658
HFX_RS11525,11825,3523,6743,8360,7591,6950
HFX_RS11530,677,116,313,439,347,309
HFX_RS11535,1011,229,210,361,371,293
HFX_RS11540,598,128,291,376,298,341
HFX_RS11545,137397,38009,132077,197264,163973,112175
HFX_RS11550,3065,3885,2586,3075,2561,2486
HFX_RS11555,3636,1222,1709,2188,1980,1680
HFX_RS11560,1003,318,496,576,509,509
HFX_RS11565,6304,5268,5344,5966,5624,5082
HFX_RS11570,162931,61210,102730,115007,107166,96645
HFX_RS11575,21688,7294,12631,15486,14162,14166
HFX_RS11580,8509,6428,6665,7749,5902,6184
HFX_RS11585,3032,2502,3930,3546,2246,2862
HFX_RS11590,1440,1155,2476,2168,1324,1783
HFX_RS11595,13800,11472,18748,24472,19068,18572
HFX_RS11600,13620,18356,16277,20523,17616,15902
HFX_RS11605,35495,49960,19547,29294,26669,24007
HFX_RS11610,670,864,483,545,549,500
HFX_RS11615,2090,2506,2086,2715,2166,1892
HFX_RS11620,2572,2502,2193,2510,2179,2261
HFX_RS11625,2414,2364,1807,1896,1773,1758
HFX_RS11630,2673,469,1062,1463,1420,1325
HFX_RS11635,7339,5545,5140,5549,4767,4601
HFX_RS11640,2837,1022,1588,1935,1627,1670
HFX_RS11645,22839,8616,12158,13783,11248,12161
HFX_RS11650,5745,2117,4446,4208,3252,3697
HFX_RS11655,2980,4217,2891,3718,3340,2623
HFX_RS11660,927,317,323,395,423,365
HFX_RS11665,3463,11446,2430,2961,2300,2135
HFX_RS11670,2487,2792,1960,2285,1895,1831
HFX_RS11675,4933,5326,3695,4956,4229,3823
HFX_RS11680,2945,3676,1734,2330,2112,2361
HFX_RS11685,1463,959,684,1051,894,816
HFX_RS11690,3837,1372,3888,4515,3829,3851
HFX_RS20505,16778,3535,5455,7667,8369,8901
HFX_RS11695,10428,1574,2390,2874,2474,2346
HFX_RS11700,797,735,683,1054,930,711
HFX_RS11705,3120,3469,2619,2770,2692,2410
HFX_RS11710,9591,6330,6189,7360,6811,6478
HFX_RS11715,25754,24473,16882,19913,18052,16691
HFX_RS11720,128,42,50,78,73,83
HFX_RS11725,5771,4330,4518,6540,5984,4572
HFX_RS11730,542,156,219,286,214,251
HFX_RS11735,9583,19043,12758,15675,10682,10305
HFX_RS11740,306,92,190,192,171,180
HFX_RS11745,4233,1887,2488,2751,2636,2570
HFX_RS11750,1153,1009,592,755,731,652
HFX_RS11755,32649,14921,32030,28798,25490,27009
HFX_RS11760,13487,5801,10512,11068,9559,10251
HFX_RS11765,1763,2397,1797,2244,1713,1585
HFX_RS11770,985,650,648,745,705,588
HFX_RS11775,1865,1511,886,1022,990,871
HFX_RS11780,78168,4808,53300,67612,66184,60841
HFX_RS11785,35976,47156,30271,36294,32217,29137
HFX_RS11790,1226,1538,1270,1463,1176,1259
HFX_RS11795,4003,3476,3467,4038,3719,3534
HFX_RS11805,2184,2055,1764,2274,2059,1758
HFX_RS11810,191,56,128,184,124,147
HFX_RS11815,945,151,539,537,505,428
HFX_RS11820,1467,751,818,774,704,767
HFX_RS11825,2095,1054,1264,1238,1068,1103
HFX_RS11830,1342,691,1147,1587,1375,1098
HFX_RS11835,3295,843,2341,3290,2438,2342
HFX_RS11840,2148,2058,2070,2143,1958,1754
HFX_RS11845,104,114,68,78,72,82
HFX_RS11850,924,160,471,627,562,496
HFX_RS11855,26228,6422,14300,14471,12650,12818
HFX_RS11860,449,773,611,668,608,552
HFX_RS11865,8332,13701,8866,9977,8767,7884
HFX_RS11870,1659,3316,1378,1745,1528,1442
