gene_id,pyrE-1,pyrE-2,rosR-1,rosR-2,rosR-3,rosR-4
HFX_RS17260,115.065883485755,553.206554119543,182.123304638011,190.448937347223,157.50640130454,170.919821099307
HFX_RS17270,53.8449326567957,217.929854653153,86.0946531016053,62.2621525942844,58.4129700202268,62.0536930105765
HFX_RS17275,402.730592200143,1701.52924979193,626.945678996305,553.03441421982,471.476115163259,571.547172465836
HFX_RS17280,2661.2673565167,3151.60097498407,2687.6984654155,2982.173985288,3030.17281979927,2943.74010351928
HFX_RS17290,210.216517906668,52.6863384875756,112.585315594407,101.633807911258,107.438141287203,151.323918043336
HFX_RS17295,187.350861572961,136.505513354173,200.887523903746,172.136539525374,186.712886314654,212.288949773025
HFX_RS17305,2480.55491129869,21.5535021085536,6898.61002416709,7012.73274587682,8298.81409787365,8036.4975755101
HFX_RS17310,257.423034208517,346.053450520667,198.679968696012,187.702077673945,219.048637575851,222.086901301011
HFX_RS17315,1922.9279374831,354.435368007326,5883.1346286097,4635.78350860091,5586.78334693455,5276.74122846078
HFX_RS17320,486.817199362811,633.433478634715,597.143683691903,593.321689427886,664.44753398008,655.374091094159
HFX_RS20390,181.45004703523,326.89478197973,224.066853584947,195.942656693777,262.858365091021,217.732256177461
HFX_RS17330,882.171773390791,492.138298145308,635.775899827239,725.170953745194,741.636101506808,824.116589631692
HFX_RS17335,333.396021381804,271.813609924538,261.595292116416,301.238944169405,291.021761350773,378.854125748783
HFX_RS17340,132.768327098948,128.123595867513,76.1606546668047,80.5745504161327,73.0162125252835,95.802192718083
HFX_RS17345,778.907518980497,617.867060445204,543.058581102433,782.855006884016,742.679190257169,788.19076736241
HFX_RS17350,604.095888300215,240.680773545516,252.765071285482,311.310762971422,305.62500385583,350.548932445713
HFX_RS20225,40.5680999469009,15.566418189511,34.2171057198688,22.8904972773104,26.0772187590298,23.9505481795208
HFX_RS17360,1958.33282470949,563.98330517382,1548.59997822503,2780.73760924767,2627.54056215984,2898.01632972201
HFX_RS17365,1096.81390220076,1058.51643688675,784.785876349248,725.170953745194,676.964598984414,815.407299384593
HFX_RS17370,807.673989851936,1045.34485226485,821.210537276851,846.032779369393,717.645060248501,735.93502587982
HFX_RS17375,166.698010690902,99.3855930561084,57.3964354010702,68.6714918319313,95.9641650332298,113.22077321228
HFX_RS17380,106.952263496375,39.5147538656817,80.5757650822716,63.1777724853768,91.791810031785,97.9795152798576
HFX_RS17385,324.544799575207,75.4372573799377,152.321309333609,136.42736377277,139.7738925484,176.363127503744
HFX_RS17390,1189.75173117002,155.66418189511,451.445039981494,411.113331100495,467.303760161815,473.567657185979
HFX_RS17395,2409.74513684591,222.719521788388,591.62479567257,474.291103585872,671.749155232608,621.625591386652
HFX_RS17400,734.651409947515,336.474116250198,667.785450339374,548.456314764358,613.336185212382,652.108107251497
HFX_RS17405,808.411591669153,419.095874332987,905.097635170722,886.320054577459,943.99531907688,927.539411315986
HFX_RS17410,1047.39458044726,76.6346741637463,251.661293681615,161.149100832265,225.307170078018,213.377611053912
HFX_RS17415,1366.03856548474,80.2269245151719,357.623943652822,204.183235713609,283.720140098245,321.155077861756
HFX_RS17420,1532.73657617564,99.3855930561084,369.765497295356,183.123978218483,325.443690112692,301.559174805784
HFX_RS17425,494.193217534975,29.9354195952134,107.066427575073,74.1652111784858,97.007253783591,117.575418335829
HFX_RS17430,42.0433035813337,1.19741678380854,4.41511041546694,4.57809945546208,5.21544375180597,10.8866128088731
HFX_RS17435,428.546655802717,73.0424238123207,176.604416618678,136.42736377277,172.109643809597,217.732256177461
HFX_RS17440,101.051448958644,17.961251757128,35.3208833237355,52.1903337922678,45.8959050158925,57.6990478870273
HFX_RS17445,854.880506153785,316.118030925453,864.257863827653,948.582207171744,877.237639053763,960.199249742605
HFX_RS17450,389.453759490249,20.3560853247451,98.2362067441394,93.3932288914265,89.7056325310626,142.614627796237
HFX_RS17455,1508.3957162075,196.3763525446,646.813675865906,714.183515052085,736.420657755002,802.343364013945
HFX_RS17460,485.341995728378,153.269348327493,365.350386879889,334.201260248732,315.01280260908,385.386093434107
HFX_RS17465,554.676566546718,75.4372573799377,206.406411923079,161.149100832265,187.755975065015,236.239497952546
HFX_RS17470,800.297971679772,57.4760056228097,204.198856715346,156.571001376803,181.497442562848,236.239497952546
HFX_RS17475,1070.99783859818,43.1070042171073,158.94397495681,141.005463228232,167.937288808152,207.934304649476
HFX_RS17480,758.992269915655,39.5147538656817,163.359085372277,158.402241158988,199.229951318988,200.313675683265
HFX_RS17485,2792.56047998122,359.225035142561,1598.26997039903,1623.39406690686,1786.81102936872,1781.04985553163
HFX_RS17490,327.495206844073,40.7121706494902,56.2926577972035,55.8528133566374,82.4040112785342,92.5362088754211
HFX_RS17495,2278.4520133814,126.926179083705,418.331711865492,329.62316079327,414.106233893394,438.730496197585
HFX_RS17500,3302.24333567773,167.638349733195,593.832350880303,410.197711209403,655.059735226829,604.207010892456
HFX_RS17505,908.72543881058,113.754594461811,385.21838374949,549.37193465545,538.233795186376,592.231736802695
HFX_RS19835,67.859367183907,1.19741678380854,28.6982177005351,43.949754772436,43.8097275151701,43.5464512354923
HFX_RS17510,212.429323358317,161.651265814152,164.462862976143,162.98034061445,210.703927572961,169.83115981842
HFX_RS20575,129.817919830083,8.38191748665975,34.2171057198688,35.7091757526043,54.240615018782,59.8763704488019
HFX_RS17520,230.131766971511,156.861598678918,194.264858280545,174.883399198652,190.885241316098,230.796191548109
HFX_RS17525,323.807197757991,50.2915049199585,140.179755691075,229.820592664197,148.118602551289,229.707530267222
HFX_RS17530,9436.14004764915,15571.2078566462,5818.01174998156,6132.82203053701,6496.35673724951,6420.92423467334
HFX_RS17535,688.920097280099,2404.41290188754,741.738549798446,927.522949676618,826.126290286065,807.786670418382
HFX_RS17540,823.901229830697,227.509188923622,805.757650822716,803.914264379142,729.119036502474,700.009203610538
HFX_RS17545,2645.04011653794,580.74714014714,2424.99939569522,2122.40690755222,2058.01410446263,2301.42994779577
HFX_RS17550,1638.9512378548,1996.09377860883,2062.96034162693,1836.73350153139,1853.56870939184,1943.26038638384
HFX_RS17555,2274.76400429532,1408.16213775884,1735.13839327851,1866.94895793744,1982.91171443663,2003.13675683265
HFX_RS17560,432.234664888799,589.129057633799,519.879251421232,539.300115853434,504.854955174817,505.138834331711
HFX_RS17565,573.116611977127,312.525780574028,376.388162918557,548.456314764358,458.959050158925,499.695527927274
HFX_RS17570,289.877514166037,440.649376441541,262.699069720283,388.222833823185,260.772187590298,325.509722985305
HFX_RS17575,1732.62666864128,232.298856058856,1677.74195787744,2157.20046341373,2262.45949953343,2350.4197054357
HFX_RS17580,12967.7775484812,749.582906664143,16525.7582850928,15316.489538194,16255.4950856288,19986.7324558101
HFX_RS17585,3698.33551152293,1576.99790427584,5204.31140223165,5128.38701000863,4592.71976784033,5064.45227868775
HFX_RS17590,1080.586662222,1725.4775854681,1956.99769165572,2093.10707103727,1880.68901690123,2032.5306114166
HFX_RS17595,248.57181240192,829.809831179315,267.11418013575,382.72911447663,310.840447607636,383.208770872332
HFX_RS17600,2357.37540782355,1278.84112510752,3618.18298547516,3381.3842578043,3126.1369848325,3460.85421194075
HFX_RS17605,494.193217534975,352.040534439709,544.1623587063,660.161941477633,546.578505189265,632.512204195525
HFX_RS17610,213.166925175534,82.6217580827889,139.075978087209,164.811580396635,144.989336300206,158.944547009547
HFX_RS17615,744.977835388544,769.938991988888,772.644322706714,1148.18734342989,1097.32936537998,1206.23669922314
HFX_RS17620,4730.97805562586,5387.1781103546,12078.6383191137,11906.7210637658,10173.2445822727,10764.6827454137
HFX_RS17625,4633.6146157533,5539.25004189829,11534.4759604074,10103.8654982048,8890.24541932845,9967.78268780418
HFX_RS17630,4780.39737737936,1517.12706508541,3117.06795331966,2775.24388990112,2726.63399344416,3083.08874747285
HFX_RS17635,179.23724158358,178.415100787472,112.585315594407,89.7307493270569,110.567407538286,121.930063459378
HFX_RS17640,267.749459649546,417.898457549179,119.207981217607,116.283726168737,136.644626297316,139.348643953575
HFX_RS17645,1009.77688776922,654.986980743269,628.049456600172,756.302030042336,782.316562770895,843.712492687663
HFX_RS17650,3044.82030146922,731.621654907015,860.946531016053,668.402520497464,854.289686545817,985.238459203013
HFX_RS17655,2412.69554411478,281.392944195006,609.285237334437,491.687881516628,727.032859001751,707.62983257675
HFX_RS17660,5169.85113686961,563.98330517382,1170.00426009874,888.151294359644,1104.6309866325,1195.35008641426
HFX_RS17665,10848.6475276185,1206.996118079,2287.02719521187,1787.2900274124,2367.81146331991,2503.92094604081
HFX_RS17670,5330.64833302278,831.007247963124,1663.39284902717,1298.34900556905,1738.82894685211,1803.91174243027
HFX_RS17675,496.406022986624,82.6217580827889,154.528864541343,127.271164861846,159.592578805263,161.121869571321
HFX_RS17680,247.096608767487,44.3044210009158,71.7455442513377,44.8653746635284,59.456058770588,65.3196768532384
HFX_RS17685,333.396021381804,46.6992545685329,102.651317159606,68.6714918319313,84.4901887792566,89.2702250327592
HFX_RS17690,958.144760564078,148.479681192258,302.435063459485,232.567452337474,295.194116352218,295.02720712046
HFX_RS17695,489.03000481446,74.2398405961292,160.047752560677,122.693065406384,149.161691301651,168.742498537533
HFX_RS17700,1384.47861091515,223.916938572196,434.888375923493,393.716553169739,480.86391391651,543.241979162766
HFX_RS17705,588.606250138671,403.529456143476,358.727721256689,446.822506853099,407.847701391226,441.996480040247
HFX_RS20400,106.214661679159,171.230600084621,94.9248739325392,117.199346059829,147.075513800928,141.52596651535
HFX_RS20405,41.3057017641173,26.3431692437878,32.0095505121353,35.7091757526043,45.8959050158925,51.1670802017034
HFX_RS17720,2269.6007915748,1790.13809179376,2558.55648576309,2495.97982311793,2489.85284711217,2673.75210585923
