gene_id,symbol,biotype,log2FoldChange,lfcSE,pvalue,padj,WT_mean,KO_mean
HVO_RS09705,HVO_RS09705,protein_coding,-0.0632192652075229,0.0603146245325991,0.20450524576327,0.411899382147839,5269.52628820018,4946.30707019963
HVO_RS03210,HVO_RS03210,protein_coding,-0.0707085547967942,0.0885598853975511,0.204583523968951,0.411899382147839,188.864520580852,167.113143434214
HVO_RS16390,HVO_RS16390,protein_coding,-0.0450339101557043,0.038368202194324,0.204717944172238,0.411940779763714,13058.061428998,12594.5771748349
HVO_RS15390,HVO_RS15390,protein_coding,0.0512646337666701,0.133358105231106,0.205125660898387,,17.6711342259686,24.6341470228582
HVO_RS05245,HVO_RS05245,protein_coding,0.0649098152343119,0.0634104072468088,0.205232558099309,0.412692705430752,540.326435440757,578.485516461964
HVO_RS08790,HVO_RS08790,protein_coding,-0.0600568579196055,0.0557159906451398,0.205319753945648,0.412692705430752,11191.1304081312,10574.3532712394
HVO_RS02015,HVO_RS02015,protein_coding,-0.0430805846421609,0.148182636634174,0.20594083448423,,10.3773107033348,6.53925612287113
HVO_RS01980,HVO_RS01980,protein_coding,0.0673326247686652,0.100835470305795,0.206053250531448,,63.4694311160461,74.3495379083038
HVO_RS19035,HVO_RS19035,protein_coding,-0.0698839592309793,0.0915986239187666,0.206862488636332,0.415562733973486,131.796602270261,116.845264197831
HVO_RS20765,HVO_RS20765,protein_coding,0.0660815034410711,0.103553591862063,0.20691446697883,,60.1671934106213,70.8853659016674
HVO_RS14160,HVO_RS14160,protein_coding,0.067001885312066,0.068248782772842,0.206995996198061,0.415600174386562,444.181948412898,479.573599410253
HVO_RS00555,HVO_RS00555,protein_coding,-0.0631241296599539,0.0607777202064845,0.207198154017929,0.415775330691552,929.875216991737,872.258950617992
HVO_RS01685,HVO_RS01685,protein_coding,-0.056028953555813,0.123513953661866,0.207353798552723,,31.7500796502808,24.4444547688691
HVO_RS04270,HVO_RS04270,protein_coding,0.0671331822602989,0.100718258623053,0.207480655523936,,64.1727777679262,75.0637341758656
HVO_RS10300,HVO_RS10300,protein_coding,-0.0539197416529358,0.048251319116018,0.207715724795164,0.416582867133538,10714.9926807721,10223.749429075
HVO_RS08875,HVO_RS08875,protein_coding,-0.0499753643012854,0.0438241429492928,0.207902970838211,0.416727395286785,14836.3199556261,14228.8673585978
HVO_RS10825,HVO_RS10825,protein_coding,0.0618073338211664,0.0588711424562847,0.208163958341619,0.417019491295668,14372.1078749221,15269.2134490045
HVO_RS05050,HVO_RS05050,protein_coding,0.0700456933009978,0.0801202036101556,0.208406425217656,0.417274181758427,311.427148765427,343.059049360362
HVO_RS19615,HVO_RS19615,protein_coding,-0.0695206348558823,0.0919049590748746,0.208703921258133,0.417638709685799,163.376261479498,143.235582413197
HVO_RS16155,HVO_RS16155,protein_coding,-0.057422059273138,0.0528858092369549,0.209580417674799,0.419160835349597,6280.50506667301,5959.11388623739
HVO_RS21465,HVO_RS21465,pseudogene,-0.0582104124420481,0.0539959298351725,0.209920938831615,0.419609920824742,1855.30385558085,1758.43693252827
HVO_RS00065,HVO_RS00065,protein_coding,0.0553904753495118,0.0504549041069088,0.210629657464183,0.420794092051582,2548.29885332546,2678.10508000184
HVO_RS07010,HVO_RS07010,protein_coding,-0.0599345258322044,0.0566067291631714,0.210943873406242,0.420890869230936,783.093505389416,740.334861276678
